uid,spotify_id,name,artist,year,decade,popularity,energy,valence,danceability,acousticness,instrumentalness,speechiness,mds_x,mds_y,energy_band,contrast
5GtfrcFGPpZcFhPQ1O9Os2,5GtfrcFGPpZcFhPQ1O9Os2,Ganja Farmer,J Boog,2007,2000,52.0,0.5760000000000001,0.655,0.889,0.0498,0.0,0.0916,0.5113670040063459,0.08836205285337644,middle,other
48rJQa3TdMfnPJxh1oPxsZ,48rJQa3TdMfnPJxh1oPxsZ,El Prostipirugolfo,Los Titanes De Durango,2010,2010,56.0,0.93,0.893,0.757,0.289,1.08e-06,0.0764,0.5371694390966834,0.11914944129043967,high,other
7Dyq1bhhjknLKEGg4k5NLr,7Dyq1bhhjknLKEGg4k5NLr,Hold It Against Me,Britney Spears,2011,2010,59.0,0.722,0.389,0.648,0.0103,0.0,0.0427,0.5224615830296633,-0.09376833129772678,high,other
6TVs7Lap6ZcrpZk1xfOgtv,6TVs7Lap6ZcrpZk1xfOgtv,Perth,Bon Iver,2011,2010,53.0,0.453,0.0679,0.468,0.855,0.552,0.0464,-0.5387859049196946,-0.30588746231960257,middle,other
3DDGhkxq3FeUorZppSgeLE,3DDGhkxq3FeUorZppSgeLE,Somewhere Only We Know,Lily Allen,2013,2010,62.0,0.28600000000000003,0.278,0.314,0.935,0.0258,0.035,-0.46769111673444563,0.21739940710214808,middle,other
6Zo3wgDE076K2AuiGZF3CS,6Zo3wgDE076K2AuiGZF3CS,Fun (feat. Chris Brown),"Pitbull, Chris Brown",2014,2010,61.0,0.774,0.547,0.7929999999999999,0.156,0.0,0.0478,0.49213470202192566,0.021039353584505628,high,other
7bFElqzAlHXnnINRBXRQbK,7bFElqzAlHXnnINRBXRQbK,Lil Bit,K CAMP,2014,2010,54.0,0.626,0.726,0.516,0.48,0.0,0.705,0.1860322359421138,0.24488540872599232,middle,other
6hbwFerDj55bMGZZvcInze,6hbwFerDj55bMGZZvcInze,Bottoms Up - Remix,"Brantley Gilbert, T.I.",2015,2010,57.0,0.754,0.303,0.5589999999999999,0.0153,0.0,0.0712,0.504428325838104,-0.13929400223794167,high,other
2NU2U0wWzGtZtuu1QsacOb,2NU2U0wWzGtZtuu1QsacOb,Love & War in Your Twenties,Jordy Searcy,2018,2010,64.0,0.525,0.529,0.736,0.22,0.00152,0.0296,0.30860020428790896,0.0842925572024673,middle,other
5hsVJEsoRAAIgcekezkOK2,5hsVJEsoRAAIgcekezkOK2,Часть 52.5 & Часть 53.1 - Фиеста,Эрнест Хемингуэй,1926,1920,0.0,0.316,0.32,0.7859999999999999,0.14300000000000002,0.0,0.933,0.24334871914300338,0.18113158983796876,middle,other
6lGM86SXGL8N1u6euSQzpv,6lGM86SXGL8N1u6euSQzpv,Arco Iris - Remasterizado,Ignacio Corsini,1929,1920,0.0,0.177,0.8190000000000001,0.614,0.994,0.0691,0.118,-0.424269672192071,0.4536645262554404,low,calm_positive
7pAx8f3iycA1hpUZWLKayk,7pAx8f3iycA1hpUZWLKayk,Nobody's Fault But Your Own (Carroll Gibbons),Carroll Gibbons,1929,1920,0.0,0.134,0.508,0.581,0.983,0.00916,0.0608,-0.48642294309002704,0.4107920502143259,low,other
